Fund Name,Plan,Category,VR ID,Alpha,Beta,Sharpe,Standard Deviation,Mean Return,Sortino
Edelweiss Silver ETF FoF Dir,Direct,Thematic-PSU,45702,--,--,--,--,--,--
Edelweiss Silver ETF FoF Reg,Regular,Thematic-PSU,45701,--,--,--,--,--,--
Edelweiss Small Cap Dir,Direct,Small Cap,38851,3.66,0.81,0.95,15.94,21.23,1.31
Edelweiss Small Cap Reg,Regular,Small Cap,38849,2.19,0.81,0.86,15.91,19.75,1.18
Edelweiss Technology Dir,Direct,Sectoral-Technology,44122,--,--,--,--,--,--
Edelweiss US Technology Equity FoF Dir,Direct,International,40665,--,--,0.92,25.27,29.42,1.50
Edelweiss US Technology Equity FoF Reg,Regular,International,40664,--,--,0.89,25.25,28.49,1.44
Edelweiss US Value Equity Offshore Dir,Direct,International,20060,--,--,0.74,12.63,15.47,1.06
Edelweiss US Value Equity Offshore Reg,Regular,International,20059,--,--,0.67,12.62,14.56,0.96
Franklin Asian Equity Dir,Direct,International,15977,--,--,0.87,13.14,17.53,1.51
Franklin Asian Equity Reg,Regular,International,6383,--,--,0.80,13.14,16.62,1.39
Franklin India ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16014,2.28,0.94,1.04,12.21,18.81,1.50
Franklin India ELSS Tax Saver Reg,Regular,ELSS (Tax Saver),601,1.47,0.94,0.97,12.19,17.99,1.40
Franklin India Flexi Cap Dir,Direct,Flexi Cap,16008,2.82,0.93,1.09,11.96,19.16,1.56
Franklin India Flexi Cap Reg,Regular,Flexi Cap,116,2.03,0.93,1.03,11.95,18.36,1.46
Franklin India Focused Equity Dir,Direct,Flexi Cap,15990,0.93,0.87,0.91,11.55,16.60,1.24
Franklin India Focused Equity Reg,Regular,Flexi Cap,5141,0.12,0.86,0.84,11.54,15.77,1.14
Franklin India Large & Mid Cap Dir,Direct,Large & Mid Cap,15986,-0.31,1.03,0.83,13.26,17.04,1.24
Franklin India Large & Mid Cap Reg,Regular,Large & Mid Cap,2605,-1.05,1.03,0.77,13.24,16.29,1.15
Franklin India Large Cap Dir,Direct,Large Cap,15982,0.41,0.95,0.83,11.41,15.62,1.25
Franklin India Large Cap Reg,Regular,Large Cap,114,-0.40,0.95,0.76,11.40,14.80,1.14
Franklin India Mid Cap Dir,Direct,Mid Cap,16003,0.49,0.92,1.06,14.86,21.86,1.46
Franklin India Mid Cap Reg,Regular,Mid Cap,115,-0.33,0.91,1.01,14.84,21.02,1.39
Franklin India Multi Cap Dir,Direct,Multi Cap,44410,--,--,--,--,--,--
Franklin India Multi Cap Reg,Regular,Multi Cap,44408,--,--,--,--,--,--
Franklin India Multi-Factor Dir,Direct,Thematic,45585,--,--,--,--,--,--
Franklin India Multi-Factor Reg,Regular,Thematic,45583,--,--,--,--,--,--
Franklin India NSE Nifty 50 Index Dir,Direct,Large Cap,15996,-1.09,0.94,0.71,11.15,14.03,1.11
Franklin India NSE Nifty 50 Index Reg,Regular,Large Cap,834,-1.47,0.94,0.68,11.15,13.65,1.06
Franklin India Opportunities Dir,Direct,Thematic,15999,10.29,1.05,1.44,15.20,28.01,2.04
Franklin India Opportunities Reg,Regular,Thematic,753,9.09,1.05,1.36,15.19,26.81,1.93
Franklin India Small Cap Dir,Direct,Small Cap,16010,1.17,0.85,0.78,17.07,19.39,1.11
Franklin India Small Cap Reg,Regular,Small Cap,3019,0.32,0.85,0.73,17.06,18.54,1.04
Franklin India Technology Dir,Direct,Sectoral-Technology,16018,12.26,0.73,0.64,17.92,17.48,0.93
Franklin U.S. Opportunities Equity Active FoF Dir,Direct,International,16027,--,--,1.01,16.13,22.41,1.48
Franklin U.S. Opportunities Equity Active FoF Reg,Regular,International,14017,--,--,0.95,16.11,21.45,1.40
Groww Banking & Financial Services Dir,Direct,Sectoral-Auto,43974,--,--,--,--,--,--
Groww Banking & Financial Services Reg,Regular,Sectoral-Auto,43972,--,--,--,--,--,--
Groww BSE Hospitals ETF,Regular,Sectoral-Pharma,45815,--,--,--,--,--,--
Groww BSE Hospitals ETF,Direct,Sectoral-Pharma,45815,--,--,--,--,--,--
Groww BSE Hospitals ETF FoF Dir,Direct,Sectoral-Pharma,45818,--,--,--,--,--,--
Groww BSE Hospitals ETF FoF Reg,Regular,Sectoral-Pharma,45816,--,--,--,--,--,--
Groww BSE Power ETF,Regular,Thematic,45370,--,--,--,--,--,--
Groww BSE Power ETF,Direct,Thematic,45370,--,--,--,--,--,--
Groww BSE Power ETF FOF Dir,Direct,Thematic,45373,--,--,--,--,--,--
Groww BSE Power ETF FOF Reg,Regular,Thematic,45371,--,--,--,--,--,--
Groww ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),34683,-0.98,0.98,0.75,13.16,15.94,0.97
Groww ELSS Tax Saver Reg,Regular,ELSS (Tax Saver),34681,-2.56,0.98,0.63,13.18,14.37,0.81
Groww Large Cap Dir,Direct,Large Cap,15579,1.16,0.96,0.88,11.76,16.48,1.25
Groww Large Cap Reg,Regular,Large Cap,14013,-0.19,0.96,0.77,11.75,15.13,1.08
Groww Multicap Dir,Direct,Multi Cap,44697,--,--,--,--,--,--
Groww Multicap Reg,Regular,Multi Cap,44695,--,--,--,--,--,--
Groww Nifty 200 ETF,Regular,Large & Mid Cap,44969,--,--,--,--,--,--
Groww Nifty 200 ETF,Direct,Large & Mid Cap,44969,--,--,--,--,--,--
Groww Nifty 200 ETF FoF Dir,Direct,Large & Mid Cap,44967,--,--,--,--,--,--
Groww Nifty 200 ETF FoF Reg,Regular,Large & Mid Cap,44965,--,--,--,--,--,--
Groww Nifty 50 ETF,Regular,Large Cap,45330,--,--,--,--,--,--
Groww Nifty 50 ETF,Direct,Large Cap,45330,--,--,--,--,--,--
Groww Nifty 50 Index Dir,Direct,Large Cap,45328,--,--,--,--,--,--
Groww Nifty 50 Index Reg,Regular,Large Cap,45326,--,--,--,--,--,--
Groww Nifty 500 Low Volatility 50 ETF,Regular,Flexi Cap,45217,--,--,--,--,--,--
Groww Nifty 500 Low Volatility 50 ETF,Direct,Flexi Cap,45217,--,--,--,--,--,--
Groww Nifty 500 Momentum 50 ETF,Regular,Flexi Cap,45094,--,--,--,--,--,--
Groww Nifty 500 Momentum 50 ETF,Direct,Flexi Cap,45094,--,--,--,--,--,--
Groww Nifty 500 Momentum 50 ETF FoF Dir,Direct,Flexi Cap,45097,--,--,--,--,--,--
Groww Nifty 500 Momentum 50 ETF FoF Reg,Regular,Flexi Cap,45095,--,--,--,--,--,--
Groww Nifty Capital Markets ETF,Regular,Thematic,45632,--,--,--,--,--,--
Groww Nifty Capital Markets ETF,Direct,Thematic,45632,--,--,--,--,--,--
Groww Nifty Capital Markets ETF FoF Dir,Direct,Thematic,45628,--,--,--,--,--,--
Groww Nifty Capital Markets ETF FoF Reg,Regular,Thematic,45626,--,--,--,--,--,--
Groww Nifty Chemicals ETF,Regular,Thematic,45751,--,--,--,--,--,--
Groww Nifty Chemicals ETF,Direct,Thematic,45751,--,--,--,--,--,--
Groww Nifty India Defence ETF,Regular,Thematic,44590,--,--,--,--,--,--
Groww Nifty India Defence ETF,Direct,Thematic,44590,--,--,--,--,--,--
Groww Nifty India Defence ETF FoF Dir,Direct,Thematic,44597,--,--,--,--,--,--
Groww Nifty India Defence ETF FoF Reg,Regular,Thematic,44595,--,--,--,--,--,--
Groww Nifty India Internet ETF,Regular,Thematic,45241,--,--,--,--,--,--
Groww Nifty India Internet ETF,Direct,Thematic,45241,--,--,--,--,--,--
Groww Nifty India Internet ETF FoF Dir,Direct,Thematic,45244,--,--,--,--,--,--
Groww Nifty India Internet ETF FoF Reg,Regular,Thematic,45242,--,--,--,--,--,--
Groww Nifty India Railways PSU ETF,Regular,Thematic-Energy,44875,--,--,--,--,--,--
Groww Nifty India Railways PSU ETF,Direct,Thematic-Energy,44875,--,--,--,--,--,--
Groww Nifty India Railways PSU Index Dir,Direct,Thematic-Energy,44878,--,--,--,--,--,--
Groww Nifty India Railways PSU Index Reg,Regular,Thematic-Energy,44876,--,--,--,--,--,--
Groww Nifty Metal ETF,Regular,Thematic,45677,--,--,--,--,--,--
Groww Nifty Metal ETF,Direct,Thematic,45677,--,--,--,--,--,--
Groww Nifty Midcap 150 ETF,Regular,Mid Cap,45580,--,--,--,--,--,--
Groww Nifty Midcap 150 ETF,Direct,Mid Cap,45580,--,--,--,--,--,--
Groww Nifty Midcap 150 Index Dir,Direct,Mid Cap,45578,--,--,--,--,--,--
Groww Nifty Midcap 150 Index Reg,Regular,Mid Cap,45576,--,--,--,--,--,--
Groww Nifty Next 50 ETF,Regular,Large Cap,45428,--,--,--,--,--,--
Groww Nifty Next 50 ETF,Direct,Large Cap,45428,--,--,--,--,--,--
Groww Nifty Next 50 Index Dir,Direct,Large Cap,45431,--,--,--,--,--,--
Groww Nifty Next 50 Index Reg,Regular,Large Cap,45429,--,--,--,--,--,--
Groww Nifty Non-Cyclical Consumer Index Dir,Direct,Thematic-Infrastructure,44325,--,--,--,--,--,--
Groww Nifty Non-Cyclical Consumer Index Reg,Regular,Thematic-Infrastructure,44323,--,--,--,--,--,--
Groww Nifty PSE ETF,Regular,Thematic-Energy,45783,--,--,--,--,--,--
Groww Nifty PSE ETF,Direct,Thematic-Energy,45783,--,--,--,--,--,--
Groww Nifty PSE ETF FOF Dir,Direct,Thematic-Energy,45786,--,--,--,--,--,--
Groww Nifty PSE ETF FOF Reg,Regular,Thematic-Energy,45784,--,--,--,--,--,--
Groww Nifty PSU Bank ETF,Regular,Sectoral-Auto,45912,N/A,N/A,N/A,N/A,N/A,N/A
Groww Nifty PSU Bank ETF,Direct,Sectoral-Auto,45912,N/A,N/A,N/A,N/A,N/A,N/A
Groww Nifty PSU Bank Index Dir,Direct,Sectoral-Auto,45910,N/A,N/A,N/A,N/A,N/A,N/A
Groww Nifty PSU Bank Index Reg,Regular,Sectoral-Auto,45908,N/A,N/A,N/A,N/A,N/A,N/A
Groww Nifty Realty ETF,Regular,Thematic,45522,--,--,--,--,--,--
Groww Nifty Realty ETF,Direct,Thematic,45522,--,--,--,--,--,--
Groww Nifty Smallcap 250 ETF,Regular,Small Cap,45552,--,--,--,--,--,--
Groww Nifty Smallcap 250 ETF,Direct,Small Cap,45552,--,--,--,--,--,--
Groww Nifty Smallcap 250 Index Dir,Direct,Small Cap,44156,--,--,--,--,--,--
Groww Nifty Smallcap 250 Index Reg,Regular,Small Cap,44154,--,--,--,--,--,--
Groww Nifty Total Market Index Dir,Direct,Flexi Cap,43806,--,--,--,--,--,--
Groww Nifty Total Market Index Reg,Regular,Flexi Cap,43804,--,--,--,--,--,--
Groww Silver ETF,Regular,Thematic-PSU,45150,--,--,--,--,--,--
Groww Silver ETF,Direct,Thematic-PSU,45150,--,--,--,--,--,--
Groww Silver ETF FoF Dir,Direct,Thematic-PSU,45153,--,--,--,--,--,--
Groww Silver ETF FoF Reg,Regular,Thematic-PSU,45151,--,--,--,--,--,--
Groww Small Cap Fund Dir,Direct,Small Cap,45697,--,--,--,--,--,--
Groww Small Cap Fund Reg,Regular,Small Cap,45695,--,--,--,--,--,--
Groww Value Dir,Direct,Value Oriented,30921,1.95,0.92,1.00,12.12,18.23,1.80
Groww Value Reg,Regular,Value Oriented,30919,0.57,0.92,0.89,12.11,16.84,1.60
HDFC Banking & Financial Services Dir,Direct,Sectoral-Auto,41533,4.94,0.89,1.09,11.78,18.98,2.20
HDFC Banking & Financial Services Reg,Regular,Sectoral-Auto,41531,3.69,0.89,0.99,11.77,17.73,1.99
HDFC BSE 500 ETF,Regular,Flexi Cap,43117,-0.33,1.00,0.85,12.63,16.82,1.18
HDFC BSE 500 ETF,Direct,Flexi Cap,43117,-0.33,1.00,0.85,12.63,16.82,1.18
HDFC BSE 500 Index Dir,Direct,Flexi Cap,43477,--,--,--,--,--,--
HDFC BSE 500 Index Reg,Regular,Flexi Cap,43476,--,--,--,--,--,--
HDFC BSE India Sector Leaders Index Dir,Direct,Thematic,45589,--,--,--,--,--,--
HDFC BSE India Sector Leaders Index Reg,Regular,Thematic,45588,--,--,--,--,--,--
HDFC BSE Sensex ETF,Regular,Large Cap,31377,-2.48,0.92,0.58,11.05,12.51,0.94
HDFC BSE Sensex ETF,Direct,Large Cap,31377,-2.48,0.92,0.58,11.05,12.51,0.94
HDFC BSE Sensex Index Dir,Direct,Large Cap,16071,-2.68,0.92,0.56,11.05,12.31,0.91
HDFC BSE Sensex Index Reg,Regular,Large Cap,1370,-2.84,0.92,0.55,11.05,12.15,0.89
HDFC Defence Dir,Direct,Thematic,43512,--,--,--,--,--,--
HDFC Defence Reg,Regular,Thematic,43510,--,--,--,--,--,--
HDFC Developed World Overseas Equity Passive FoF Dir*,Direct,International,41714,--,--,1.49,10.65,21.96,2.02
HDFC Developed World Overseas Equity Passive FoF Reg*,Regular,International,41713,--,--,1.45,10.65,21.53,1.96
HDFC Diversified Equity All Cap Active FoF Dir,Direct,Flexi Cap,45485,--,--,--,--,--,--
HDFC Diversified Equity All Cap Active FoF Reg,Regular,Flexi Cap,45483,--,--,--,--,--,--
HDFC ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16160,5.60,0.83,1.36,10.83,20.89,2.21
HDFC ELSS Tax Saver Reg,Regular,ELSS (Tax Saver),854,4.98,0.83,1.31,10.83,20.27,2.12
HDFC Flexi Cap Dir,Direct,Flexi Cap,16026,7.17,0.77,1.56,10.09,21.80,2.50
HDFC Flexi Cap Reg,Regular,Flexi Cap,219,6.50,0.77,1.49,10.08,21.14,2.39
HDFC Focused Dir,Direct,Flexi Cap,16021,7.79,0.72,1.67,9.42,21.81,2.53
HDFC Focused Reg,Regular,Flexi Cap,2372,6.64,0.72,1.55,9.40,20.65,2.35
HDFC Housing Opportunities Dir,Direct,Thematic,34770,2.33,1.08,0.95,15.01,20.38,1.43
HDFC Housing Opportunities Reg,Regular,Thematic,34768,1.34,1.08,0.89,15.00,19.38,1.33
HDFC Large and Mid Cap Dir,Direct,Large & Mid Cap,16626,3.03,1.08,1.08,13.70,20.90,1.54
HDFC Large and Mid Cap Reg,Regular,Large & Mid Cap,172,2.22,1.08,1.02,13.69,20.08,1.45
HDFC Large Cap Dir,Direct,Large Cap,16164,1.55,0.93,0.93,11.26,16.61,1.35
HDFC Large Cap Reg,Regular,Large Cap,104,0.96,0.93,0.88,11.26,16.01,1.27
HDFC Mid Cap Dir,Direct,Mid Cap,16114,5.20,0.85,1.41,13.69,25.40,1.91
HDFC Mid Cap Reg,Regular,Mid Cap,5067,4.55,0.84,1.36,13.68,24.74,1.84
HDFC MNC Dir,Direct,Thematic-Consumption,43179,--,--,--,--,--,--
HDFC MNC Reg,Regular,Thematic-Consumption,43177,--,--,--,--,--,--
HDFC Multi Cap Dir,Direct,Multi Cap,41864,1.91,0.98,1.01,14.21,20.45,1.42
HDFC Multi Cap Reg,Regular,Multi Cap,41862,0.87,0.98,0.94,14.19,19.39,1.32
HDFC NIFTY 100 Equal Wght Index Dir,Direct,Large Cap,42093,3.39,1.12,1.03,13.83,20.31,1.45
HDFC NIFTY 100 Equal Wght Index Reg,Regular,Large Cap,42092,2.96,1.12,1.00,13.82,19.87,1.41
HDFC NIFTY 100 ETF,Regular,Large Cap,42416,-0.32,1.00,0.79,11.83,15.39,1.12
HDFC NIFTY 100 ETF,Direct,Large Cap,42416,-0.32,1.00,0.79,11.83,15.39,1.12
HDFC NIFTY 100 Index Dir,Direct,Large Cap,42091,-0.38,1.00,0.78,11.81,15.31,1.11
HDFC NIFTY 100 Index Reg,Regular,Large Cap,42090,-0.84,1.00,0.74,11.80,14.85,1.06
HDFC NIFTY 50 ETF,Regular,Large Cap,31376,-0.90,0.95,0.73,11.23,14.29,1.14
HDFC NIFTY 50 ETF,Direct,Large Cap,31376,-0.90,0.95,0.73,11.23,14.29,1.14
HDFC NIFTY 50 Index Dir,Direct,Large Cap,16069,-1.10,0.94,0.71,11.23,14.09,1.12
HDFC NIFTY 50 Index Reg,Regular,Large Cap,1368,-1.26,0.94,0.70,11.23,13.93,1.09
HDFC NIFTY Bank ETF,Regular,Sectoral-Auto,41076,-0.01,1.00,0.74,12.08,15.01,1.41
HDFC NIFTY Bank ETF,Direct,Sectoral-Auto,41076,-0.01,1.00,0.74,12.08,15.01,1.41
HDFC NIFTY Growth Sectors 15 ETF,Regular,Thematic,42537,-3.36,0.84,0.42,13.92,12.02,0.53
HDFC NIFTY Growth Sectors 15 ETF,Direct,Thematic,42537,-3.36,0.84,0.42,13.92,12.02,0.53
HDFC Nifty India Consumption Index Dir,Direct,Thematic-Infrastructure,45800,--,--,--,--,--,--
HDFC Nifty India Consumption Index Reg,Regular,Thematic-Infrastructure,45799,--,--,--,--,--,--
HDFC Nifty India Digital Index Dir,Direct,Sectoral-Technology,44757,--,--,--,--,--,--
HDFC NIFTY IT ETF,Direct,Sectoral-Technology,42716,0.59,1.02,-0.03,22.42,5.48,-0.04
HDFC Nifty LargeMidcap 250 Index Dir,Direct,Large & Mid Cap,44570,--,--,--,--,--,--
HDFC Nifty LargeMidcap 250 Index Reg,Regular,Large & Mid Cap,44569,--,--,--,--,--,--
HDFC NIFTY Midcap 150 ETF,Regular,Mid Cap,43115,0.83,0.99,1.11,15.66,23.41,1.47
HDFC NIFTY Midcap 150 ETF,Direct,Mid Cap,43115,0.83,0.99,1.11,15.66,23.41,1.47
HDFC NIFTY Midcap 150 Index Dir,Direct,Mid Cap,43475,--,--,--,--,--,--
HDFC NIFTY Midcap 150 Index Reg,Regular,Mid Cap,43474,--,--,--,--,--,--
HDFC NIFTY Next 50 ETF,Regular,Large Cap,42417,4.64,1.26,1.01,16.59,22.89,1.33
HDFC NIFTY Next 50 ETF,Direct,Large Cap,42417,4.64,1.26,1.01,16.59,22.89,1.33
HDFC NIFTY Next 50 Index Dir,Direct,Large Cap,41800,4.34,1.26,0.99,16.60,22.58,1.31
HDFC NIFTY Next 50 Index Reg,Regular,Large Cap,41799,3.98,1.26,0.97,16.60,22.21,1.28
HDFC NIFTY Private Bank ETF,Regular,Sectoral-Auto,42715,-2.47,0.97,0.51,12.12,12.25,0.95
HDFC NIFTY Private Bank ETF,Direct,Sectoral-Auto,42715,-2.47,0.97,0.51,12.12,12.25,0.95
HDFC NIFTY PSU BANK ETF,Regular,Sectoral-Auto,44059,--,--,--,--,--,--
HDFC NIFTY PSU BANK ETF,Direct,Sectoral-Auto,44059,--,--,--,--,--,--
HDFC NIFTY Realty Index Dir,Direct,Thematic,44211,--,--,--,--,--,--
HDFC NIFTY Realty Index Reg,Regular,Thematic,44210,--,--,--,--,--,--
HDFC Nifty Smallcap 250 ETF,Regular,Small Cap,43116,0.88,1.02,0.78,19.63,21.44,1.16
HDFC Nifty Smallcap 250 ETF,Direct,Small Cap,43116,0.88,1.02,0.78,19.63,21.44,1.16
HDFC Nifty Smallcap 250 Index Dir,Direct,Small Cap,43484,--,--,--,--,--,--
HDFC Nifty Smallcap 250 Index Reg,Regular,Small Cap,43483,--,--,--,--,--,--
HDFC Nifty Top 20 Equal Weight Index Dir,Direct,Large Cap,45043,--,--,--,--,--,--
HDFC Nifty Top 20 Equal Weight Index Reg,Regular,Large Cap,45042,--,--,--,--,--,--
HDFC NIFTY100 Low Volatility 30 ETF,Regular,Large Cap,42568,1.74,0.96,0.89,12.28,17.04,1.22
HDFC NIFTY100 Low Volatility 30 ETF,Direct,Large Cap,42568,1.74,0.96,0.89,12.28,17.04,1.22
HDFC NIFTY100 Low Volatility 30 Index Dir,Direct,Large Cap,44405,--,--,--,--,--,--
HDFC NIFTY100 Low Volatility 30 Index Reg,Regular,Large Cap,44404,--,--,--,--,--,--
HDFC NIFTY100 Quality 30 ETF,Regular,Large Cap,42536,-1.14,0.99,0.65,13.03,14.52,0.78
HDFC NIFTY100 Quality 30 ETF,Direct,Large Cap,42536,-1.14,0.99,0.65,13.03,14.52,0.78
HDFC Nifty100 Quality 30 Index Dir,Direct,Large Cap,44915,--,--,--,--,--,--
HDFC Nifty100 Quality 30 Index Reg,Regular,Large Cap,44914,--,--,--,--,--,--
HDFC NIFTY200 Momentum 30 ETF,Regular,Large & Mid Cap,42569,0.73,1.26,0.83,17.33,20.55,1.11
HDFC NIFTY200 Momentum 30 ETF,Direct,Large & Mid Cap,42569,0.73,1.26,0.83,17.33,20.55,1.11
HDFC NIFTY200 Momentum 30 Index Dir,Direct,Large & Mid Cap,44153,--,--,--,--,--,--
HDFC NIFTY200 Momentum 30 Index Reg,Regular,Large & Mid Cap,44152,--,--,--,--,--,--
HDFC NIFTY50 Equal Weight Index Dir,Direct,Large Cap,41636,3.31,1.00,1.05,12.30,19.05,1.40
HDFC NIFTY50 Equal Weight Index Reg,Regular,Large Cap,41635,2.85,1.00,1.02,12.30,18.59,1.35
HDFC NIFTY50 Value 20 ETF,Regular,Value Oriented,42535,-1.92,0.86,0.62,12.22,13.68,0.86
HDFC NIFTY50 Value 20 ETF,Direct,Value Oriented,42535,-1.92,0.86,0.62,12.22,13.68,0.86
HDFC Nifty500 Multicap 50:25:25 Index Dir,Direct,Multi Cap,44463,--,--,--,--,--,--
HDFC Nifty500 Multicap 50:25:25 Index Reg,Regular,Multi Cap,44462,--,--,--,--,--,--
HDFC Non-Cyclical Consumer Dir,Direct,Thematic-Infrastructure,43559,--,--,--,--,--,--
HDFC Non-Cyclical Consumer Reg,Regular,Thematic-Infrastructure,43557,N/A,N/A,N/A,N/A,N/A,N/A
HDFC Pharma And Healthcare Dir,Direct,Sectoral-Pharma,43786,--,--,--,--,--,--
HDFC Pharma And Healthcare Reg,Regular,Sectoral-Pharma,43784,--,--,--,--,--,--
HDFC Retirement Savings Equity Dir,Direct,Flexi Cap,31780,2.36,0.86,1.08,10.98,17.91,1.57
HDFC Retirement Savings Equity Reg,Regular,Flexi Cap,31779,1.28,0.85,0.98,10.97,16.83,1.43
HDFC Silver ETF,Regular,Thematic-PSU,42489,-0.60,1.00,1.19,41.95,55.96,2.60
HDFC Silver ETF,Direct,Thematic-PSU,42489,-0.60,1.00,1.19,41.95,55.96,2.60
HDFC Silver ETF FoF Dir,Direct,Thematic-PSU,42666,2.42,0.89,1.27,37.13,53.29,2.94
HDFC Silver ETF FoF Reg,Regular,Thematic-PSU,42665,2.07,0.89,1.26,37.11,52.92,2.91
HDFC Small Cap Dir,Direct,Small Cap,16617,2.59,0.79,0.88,15.70,19.92,1.32
HDFC Small Cap Reg,Regular,Small Cap,6770,1.70,0.79,0.82,15.68,19.02,1.24
HDFC Technology Dir,Direct,Sectoral-Technology,43756,--,--,--,--,--,--
HDFC Value Dir,Direct,Value Oriented,15989,3.41,0.98,1.13,12.61,20.34,1.75
HDFC Value Reg,Regular,Value Oriented,218,2.56,0.98,1.06,12.61,19.49,1.64
Helios Financial Services Dir,Direct,Sectoral-Auto,44374,--,--,--,--,--,--
Helios Financial Services Reg,Regular,Sectoral-Auto,44372,--,--,--,--,--,--
Helios Flexi Cap Dir,Direct,Flexi Cap,43839,--,--,--,--,--,--
Helios Flexi Cap Reg,Regular,Flexi Cap,43837,--,--,--,--,--,--
Helios Large & Mid Cap Dir,Direct,Large & Mid Cap,44610,--,--,--,--,--,--
Helios Large & Mid Cap Reg,Regular,Large & Mid Cap,44608,--,--,--,--,--,--
Helios Mid Cap Dir,Direct,Mid Cap,44987,--,--,--,--,--,--
Helios Mid Cap Reg,Regular,Mid Cap,44985,--,--,--,--,--,--
Helios Small Cap Dir,Direct,Small Cap,45559,--,--,--,--,--,--
Helios Small Cap Reg,Regular,Small Cap,45557,--,--,--,--,--,--
HSBC Asia Pacific (Ex Japan) Dividend Yield Dir,Direct,International,23946,--,--,1.35,11.95,22.26,2.45
HSBC Asia Pacific (Ex Japan) Dividend Yield Reg,Regular,International,23944,--,--,1.32,11.96,21.83,2.39
HSBC Brazil Dir,Direct,International,17042,--,--,0.67,23.65,21.89,1.46
HSBC Brazil Reg,Regular,International,12632,--,--,0.64,23.64,21.30,1.40
HSBC Consumption Dir,Direct,Thematic-Infrastructure,43710,--,--,--,--,--,--
HSBC Consumption Reg,Regular,Thematic-Infrastructure,43708,--,--,--,--,--,--
HSBC ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16200,2.99,1.02,1.02,13.93,20.37,1.23
HSBC ELSS Tax Saver Reg,Regular,ELSS (Tax Saver),3112,2.21,1.02,0.97,13.92,19.59,1.17
HSBC Financial Services Dir,Direct,Sectoral-Auto,44926,--,--,--,--,--,--
HSBC Financial Services Reg,Regular,Sectoral-Auto,44924,--,--,--,--,--,--
HSBC Flexi Cap Dir,Direct,Flexi Cap,16320,1.65,1.06,0.95,14.03,19.47,1.20
HSBC Flexi Cap Reg,Regular,Flexi Cap,2072,0.89,1.06,0.90,14.01,18.70,1.13
HSBC Focused Dir,Direct,Flexi Cap,41022,2.07,0.99,0.94,13.82,19.16,1.14
HSBC Focused Reg,Regular,Flexi Cap,41020,0.89,0.99,0.86,13.80,17.97,1.03
HSBC Global Emerging Markets Dir,Direct,International,17037,--,--,1.16,15.23,23.71,2.00
HSBC Global Emerging Markets Reg,Regular,International,6774,--,--,1.11,15.23,23.06,1.93
HSBC Global Equity Climate Change FoF Dir,Direct,International,41323,--,--,0.44,13.88,12.24,0.78
HSBC Global Equity Climate Change FoF Reg,Regular,International,41321,--,--,0.41,13.87,11.73,0.71
HSBC India Export Opportunities Dir,Direct,Thematic,44524,--,--,--,--,--,--
HSBC India Export Opportunities Reg,Regular,Thematic,44522,--,--,--,--,--,--
HSBC Large and Mid Cap Dir,Direct,Large & Mid Cap,39456,4.52,1.03,1.01,15.49,21.80,1.02
HSBC Large and Mid Cap Reg,Regular,Large & Mid Cap,39454,3.46,1.03,0.95,15.47,20.74,0.96
HSBC Large Cap Dir,Direct,Large Cap,16289,1.88,0.94,0.94,11.58,17.00,1.25
HSBC Large Cap Reg,Regular,Large Cap,1481,0.97,0.94,0.86,11.57,16.08,1.14
HSBC Midcap Dir,Direct,Mid Cap,16280,2.88,0.98,1.15,16.78,25.36,1.21
HSBC Midcap Reg,Regular,Mid Cap,2333,1.81,0.98,1.08,16.76,24.28,1.14
HSBC Multi Cap Dir,Direct,Multi Cap,43023,5.10,0.98,1.19,14.84,23.74,1.55
HSBC Multi Cap Reg,Regular,Multi Cap,43021,3.79,0.98,1.10,14.82,22.41,1.43
HSBC Nifty 50 Index Dir,Direct,Large Cap,40972,-1.06,0.94,0.71,11.20,14.11,1.12
HSBC Nifty 50 Index Reg,Regular,Large Cap,40970,-1.31,0.94,0.69,11.20,13.86,1.09
HSBC Nifty Next 50 Index Dir,Direct,Large Cap,40976,4.35,1.26,0.99,16.58,22.58,1.31
HSBC Nifty Next 50 Index Reg,Regular,Large Cap,40974,3.91,1.26,0.97,16.58,22.14,1.27
HSBC Small Cap Dir,Direct,Small Cap,26133,-0.79,0.95,0.67,18.76,18.73,0.86
HSBC Small Cap Reg,Regular,Small Cap,26131,-1.81,0.94,0.62,18.74,17.70,0.79
HSBC Value Dir,Direct,Value Oriented,16269,6.12,1.04,1.26,13.99,23.66,1.65
HSBC Value Reg,Regular,Value Oriented,10789,5.15,1.03,1.19,13.97,22.69,1.56
ICICI Pru Active Momentum,Regular,Thematic,45355,--,--,--,--,--,--
ICICI Pru Active Momentum Dir,Direct,Thematic,45357,--,--,--,--,--,--
ICICI Pru Banking & Financial Services,Regular,Sectoral-Auto,8293,2.87,0.79,0.94,10.49,16.00,1.99
ICICI Pru Banking & Financial Services Dir,Direct,Sectoral-Auto,15936,3.68,0.79,1.02,10.49,16.81,2.15
ICICI Pru Bharat 22 FOF,Regular,Large Cap,36692,10.73,1.13,1.30,16.65,27.73,2.01
ICICI Pru Bharat 22 FOF Dir,Direct,Large Cap,36693,10.74,1.13,1.30,16.65,27.74,2.01
