Fund Name,Plan,Category,VR ID,Alpha,Beta,Sharpe,Standard Deviation,Mean Return,Sortino
ABSL Nifty 50 Index Dir,Direct,Large Cap,15769,-1.08,0.94,0.71,11.22,14.10,1.12
ABSL Nifty 50 Index Reg,Regular,Large Cap,1445,-1.36,0.94,0.69,11.22,13.82,1.08
ABSL Nifty Bank ETF,Regular,Sectoral-Auto,40378,0.01,1.00,0.74,12.08,15.03,1.42
ABSL Nifty Bank ETF,Direct,Sectoral-Auto,40378,0.01,1.00,0.74,12.08,15.03,1.42
ABSL Nifty Healthcare ETF,Regular,Sectoral-Pharma,41780,-0.89,1.01,1.13,16.75,24.99,1.89
ABSL Nifty Healthcare ETF,Direct,Sectoral-Pharma,41780,-0.89,1.01,1.13,16.75,24.99,1.89
ABSL Nifty India Defence Index Dir,Direct,Thematic,44489,--,--,--,--,--,--
ABSL Nifty India Defence Index Reg,Regular,Thematic,44487,--,--,--,--,--,--
ABSL Nifty IT ETF,Direct,Sectoral-Technology,41807,0.67,1.02,-0.02,22.42,5.55,-0.03
ABSL Nifty Midcap 150 Index Dir,Direct,Mid Cap,41385,0.77,0.99,1.10,15.68,23.37,1.47
ABSL Nifty Midcap 150 Index Reg,Regular,Mid Cap,41383,0.19,0.99,1.06,15.67,22.79,1.42
ABSL Nifty Next 50 ETF,Regular,Large Cap,38491,4.82,1.26,1.02,16.59,23.06,1.35
ABSL Nifty Next 50 ETF,Direct,Large Cap,38491,4.82,1.26,1.02,16.59,23.06,1.35
ABSL Nifty Next 50 Index Dir,Direct,Large Cap,42072,4.31,1.26,0.99,16.62,22.57,1.31
ABSL Nifty Next 50 Index Reg,Regular,Large Cap,42070,3.71,1.26,0.96,16.59,21.96,1.26
ABSL Nifty PSE ETF,Regular,Thematic-Energy,44301,--,--,--,--,--,--
ABSL Nifty PSE ETF,Direct,Thematic-Energy,44301,--,--,--,--,--,--
ABSL Nifty Smallcap 50 Index Dir,Direct,Small Cap,41389,4.56,1.03,0.94,20.27,25.24,1.52
ABSL Nifty Smallcap 50 Index Reg,Regular,Small Cap,41387,4.00,1.03,0.92,20.27,24.68,1.47
